Z_Depth_m,BBox_Area_px2
11.5343,235.66
11.5523,210.7
11.5648,196.48
11.5643,204.65
11.5571,208.77
11.5421,208.83
11.5198,212.67
11.4935,226.8
11.462,224.29
11.4265,230.29
11.3912,225.13
11.3549,230.39
11.3188,237.06
11.2858,235.22
11.2524,233.54
11.223,239.66
11.2,243.82
11.1785,249.62
11.1648,225.72
11.1552,222.03
11.147,218.26
11.1454,223.85
11.1439,234.02
11.1531,203.26
11.156,214.87
11.1595,219.19
11.1657,203.65
11.17,215.82
11.1716,211.76
11.1708,183.74
11.1612,234.24
11.1466,218.38
11.1307,211.13
11.1096,216.12
11.0794,208.06
11.0477,199.01
11.0104,208.17
10.969,184.12
10.925,215.83
10.8808,172.36
10.8358,222.77
10.7909,196.28
10.7493,204.54
10.7045,182.53
10.6671,174.77
10.6273,185.88
10.593,165.1
10.5619,160.48
10.5328,181.79
10.506,167.29
10.4848,174.9
10.4627,171.15
10.4457,175.45
10.4295,180.41
10.4158,176.16
10.4022,164.74
10.3891,144.27
10.3698,139.38
10.3469,130.91
10.3178,174.61
10.2843,196.92
10.246,209.28
10.2034,193.72
10.1596,170.88
10.1054,168.15
10.0468,164.96
9.9844,190.14
9.9192,181.36
9.8508,182.29
9.7836,180.87
9.7134,180.26
9.6459,194.79
9.5777,186.83
9.5136,203.32
9.4539,214.55
9.397,239.66
9.3457,239.65
9.2986,249.3
9.2594,263.57
9.2261,285.72
9.1962,282.84
9.1734,259.6
9.1543,226.27
9.1365,259.25
9.1191,235.16
9.1013,233.09
9.0822,222.44
9.0614,240.21
9.0334,225.4
9.0018,278.16
8.964,280.42
8.9241,262.08
8.8757,258.23
8.8211,285.76
8.7635,318.95
8.6991,321.66
8.6364,302.22
8.5636,294.26
8.4879,295.64
8.4078,291.43
8.326,294.52
8.2431,296.46
8.157,289.57
8.0701,291.34
7.9833,344.98
7.8878,355.06
7.8017,410.88
7.713,428.38
7.6181,429.44
7.529,397.61
7.44,428.97
7.3484,442.56
7.2572,522.3
7.1658,520.12
7.0741,539.12
6.9795,520.89
6.8845,563.79
6.7835,584.41
6.6815,639.94
6.5728,659.85
6.4664,672.74
6.355,760.43
6.2393,787.81
6.1238,750.14
6.0031,700.16
5.8813,842.89
5.753,889.92
5.6257,935.02
5.4996,1016.04
5.3702,1049.15
5.2375,1085.74
5.1096,1104.53
4.9764,1232.72
